date,CLF17,CLG17,CLH17,CLJ17,CLK17,CLM17,CLN17,CLQ17,CLU17,CLZ17,CSZ16,CSF17,CSG17,CSH17,CSJ17,CSK17,CSM17,CSN17,CSQ17,CSU17,CSV17,CSX17,CSZ17,WBSF17,WBSG17,WBSH17,WBSJ17,WBSK17,WBSM17,WBSN17,WBSQ17,WBSU17,WBSZ17,WSPZ16,WSPF17,WSPG17,WSPH17,WSPJ17,WSPK17,WSPM17,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
time,-7.8676e-07,4.52667e-08,5.56626e-08,1.30832e-08,2.90149e-08,2.12709e-05,-3.8888e-05,1.00935e-06,-5.36114e-05,3.10985e-06,-1.95646e-06,5.38758e-06,2.32494e-06,-4.67177e-08,1.51842e-06,-3.44344e-06,3.60286e-06,2.99985e-06,-2.23442e-07,-1.08709e-06,-9.61752e-07,7.87278e-07,-1.17592e-05,-9.14531e-07,-2.47826e-08,-1.17877e-06,1.92161e-06,4.37199e-06,3.94089e-05,3.17367e-06,6.16159e-06,-7.44714e-06,7.7119e-06,8.51993e-06,3.55581e-07,-1.63339e-06,-4.68507e-06,-2.72575e-06,5.59748e-06,2.82919e-06,0
