MC simulation,P&L of the portfolio,0
path1,-19838.3,0
path2,-18300.9,0
path3,-16861.4,0
path4,-16110.5,0
path5,-15820.7,0
path6,-15120.5,0
path7,-15061.2,0
path8,-14977,0
path9,-14960.1,0
path10,-14728,0
path11,-14682.5,0
path12,-14365.9,0
path13,-13983.9,0
path14,-13452.9,0
path15,-13171.3,0
path16,-13103.8,0
path17,-13043.8,0
path18,-12975.7,0
path19,-12829.6,0
path20,-12808.9,0
path21,-12757.9,0
path22,-12462.2,0
path23,-12218.6,0
path24,-12179.6,0
path25,-12171.2,0
path26,-11904.5,0
path27,-11818.5,0
path28,-11609.6,0
path29,-11595.7,0
path30,-11591.9,0
path31,-11564.6,0
path32,-11463.9,0
path33,-11407.2,0
path34,-11404.1,0
path35,-11403.6,0
path36,-11259.4,0
path37,-11102.1,0
path38,-11070.7,0
path39,-11042.6,0
path40,-10955.5,0
path41,-10881.5,0
path42,-10798.3,0
path43,-10776.5,0
path44,-10715.9,0
path45,-10637.3,0
path46,-10430.9,0
path47,-10413.3,0
path48,-10360.2,0
path49,-10341.9,0
path50,-10332.8,0
path51,-10320.6,0
path52,-10311.9,0
path53,-10270.3,0
path54,-10236.8,0
path55,-10228,0
path56,-10214,0
path57,-10213.1,0
path58,-10196.8,0
path59,-10177.7,0
path60,-10156.8,0
path61,-10116.4,0
path62,-10095.3,0
path63,-10060,0
path64,-10054.8,0
path65,-9990.84,0
path66,-9987.55,0
path67,-9901.61,0
path68,-9880.45,0
path69,-9817.34,0
path70,-9769.64,0
path71,-9765.18,0
path72,-9698.79,0
path73,-9643.56,0
path74,-9574.64,0
path75,-9467.92,0
path76,-9451.48,0
path77,-9378.07,0
path78,-9375.37,0
path79,-9186.68,0
path80,-9175.23,0
path81,-9147.08,0
path82,-9069.65,0
path83,-8997.15,0
path84,-8928.73,0
path85,-8925.24,0
path86,-8923.41,0
path87,-8847.97,0
path88,-8845.87,0
path89,-8768.45,0
path90,-8728.47,0
path91,-8727.26,0
path92,-8694.98,0
path93,-8675.51,0
path94,-8449.02,0
path95,-8431.36,0
path96,-8406.74,0
path97,-8388.09,0
path98,-8359.29,0
path99,-8354.5,0
path100,-8341.41,0
path101,-8329.75,0
path102,-8321.47,0
path103,-8314.73,0
path104,-8259.28,0
path105,-8255.41,0
path106,-8236.85,0
path107,-8223.75,0
path108,-8173.68,0
path109,-8149.98,0
path110,-8133.19,0
path111,-8097.88,0
path112,-8023.73,0
path113,-8020.15,0
path114,-8017.14,0
path115,-7995.36,0
path116,-7988.5,0
path117,-7957.5,0
path118,-7951.87,0
path119,-7950.96,0
path120,-7915.35,0
path121,-7905.56,0
path122,-7902.94,0
path123,-7901.13,0
path124,-7895.13,0
path125,-7843.18,0
path126,-7776.24,0
path127,-7760.3,0
path128,-7669.46,0
path129,-7644.68,0
path130,-7603.71,0
path131,-7587.88,0
path132,-7585.96,0
path133,-7541.9,0
path134,-7518.75,0
path135,-7487.79,0
path136,-7473.53,0
path137,-7467.53,0
path138,-7447.65,0
path139,-7421.07,0
path140,-7399.78,0
path141,-7371.21,0
path142,-7363.29,0
path143,-7351.47,0
path144,-7287.53,0
path145,-7246.74,0
path146,-7240.56,0
path147,-7206.79,0
path148,-7192.84,0
path149,-7192.52,0
path150,-7157.08,0
path151,-7071.84,0
path152,-7050.43,0
path153,-7043.68,0
path154,-7029.33,0
path155,-7000.92,0
path156,-6973.02,0
path157,-6856.65,0
path158,-6813.6,0
path159,-6789.93,0
path160,-6786.77,0
path161,-6777.07,0
path162,-6765.35,0
path163,-6760.47,0
path164,-6729.38,0
path165,-6723.65,0
path166,-6722.61,0
path167,-6648.6,0
path168,-6641.53,0
path169,-6613.01,0
path170,-6611.71,0
path171,-6594.81,0
path172,-6579.01,0
path173,-6569.56,0
path174,-6564.72,0
path175,-6556.16,0
path176,-6540.3,0
path177,-6513.22,0
path178,-6494.89,0
path179,-6404.25,0
